ID,CC Diff (slow-fast),HV Diff (slow-fast),MI Diff (slow-fast),Slow-Fast MediTime
4171,-1,0.89,-0.72,14.3905
4172,0,-26.44,7.97,14.3875
4173,2,8.73,10.06,14.3738
4174,0,-12.91,0.10,14.3552
4175,-1,-86.95,7.78,14.3383
4176,1,18.16,4.40,14.3313
4177,2,-79.10,5.82,14.3307
4178,0,2.89,0.20,14.3031
4179,0,85.42,0.35,14.2804
4180,0,-24.24,0.41,14.2724
4181,-2,-119.84,8.67,14.2698
4182,0,41.36,-0.52,14.2654
4183,0,0.00,0.00,14.2499
4184,1,100.75,-3.72,14.2460
4185,-1,14.24,2.11,14.2155
4186,0,23.77,-5.18,14.1330
4187,1,220.55,2.19,14.1294
4188,0,0.00,0.00,14.1165
4189,-3,-75.32,0.19,14.1147
4190,-1,-8.27,-0.03,14.0705
4191,-1,16.68,-4.64,14.0645
4192,1,53.32,-3.88,14.0526
4193,0,38.08,-1.77,14.0497
4194,-3,-73.50,3.29,14.0428
4195,-3,-79.52,2.70,14.0356
4196,0,-6.86,2.59,14.0312
4197,0,0.00,0.00,14.0308
4198,0,-26.19,14.24,14.0122
4199,0,-79.14,7.89,13.9823
4200,-3,-70.83,5.88,13.9805
4201,-5,-143.24,9.23,13.9542
4202,0,-18.86,3.19,13.9501
4203,1,0.00,8.64,13.9487
4204,1,12.97,-1.73,13.9451
4205,0,-11.63,2.40,13.9236
4206,0,40.78,-3.17,13.9078
4207,0,-118.73,18.56,13.8978
4208,0,23.34,-2.83,13.8931
4209,-3,-139.11,17.66,13.8903
4210,-1,-42.95,5.85,13.8335
4211,-4,-103.16,3.62,13.8276
4212,0,9.19,-0.01,13.8161
4213,0,29.44,-1.01,13.8155
4214,3,166.77,10.64,13.8085
4215,-1,56.10,-12.18,13.8060
4216,2,18.27,5.86,13.7600
4217,0,41.41,-0.85,13.7592
4218,0,73.31,-5.64,13.7571
4219,-1,10.17,-4.16,13.7534
4220,0,-34.57,2.52,13.6979
4221,0,-125.38,-1.18,13.6930
4222,0,21.29,-0.85,13.6920
4223,0,35.00,-0.30,13.6917
4224,1,67.35,-5.48,13.6777
4225,0,51.98,7.77,13.6644
4226,0,30.27,0.60,13.6548
4227,0,0.00,0.00,13.6499
4228,0,83.96,-8.55,13.6394
4229,1,22.73,1.85,13.6342
4230,-3,-228.73,8.56,13.6132
4231,-3,-180.32,4.30,13.6030
4232,0,-2.02,0.20,13.5837
4233,0,15.01,-3.09,13.5653
4234,0,267.98,-15.72,13.5543
4235,1,67.35,-5.48,13.5527
4236,0,0.00,0.00,13.5505
4237,1,146.34,-17.99,13.5011
4238,0,-11.48,0.69,13.4286
4239,-2,-200.06,11.22,13.4168
4240,-2,0.00,-5.83,13.3977
4241,-1,-235.59,12.63,13.3885
4242,0,-2.58,-0.62,13.3838
4243,0,-11.61,0.02,13.3763
4244,-5,-107.58,7.50,13.3632
4245,-2,-107.85,1.79,13.3574
4246,3,199.47,-0.36,13.3389
4247,0,-166.41,8.32,13.3227
4248,0,15.43,-1.82,13.2952
4249,0,0.00,0.00,13.2727
4250,-5,-90.27,4.81,13.2588
4251,0,49.11,-1.63,13.2539
4252,0,23.66,-0.20,13.2261
4253,0,-88.40,11.15,13.2075
4254,1,70.01,0.58,13.2005
4255,0,25.89,-0.53,13.1838
4256,0,6.43,-2.54,13.1733
4257,0,0.00,0.00,13.1584
4258,-2,-92.87,15.14,13.1511
4259,0,0.00,0.00,13.1420
4260,0,-38.68,2.30,13.1239
4261,0,-2.32,0.58,13.1234
4262,2,-18.35,2.51,13.1222
4263,0,0.00,0.00,13.1216
4264,-2,69.72,7.72,13.1180
4265,0,54.61,-6.50,13.1163
4266,0,28.97,0.04,13.0800
4267,1,107.49,-2.67,13.0729
4268,1,239.75,0.41,13.0655
4269,0,41.41,-0.85,13.0636
4270,0,158.32,-2.51,13.0573
4271,0,51.98,7.77,13.0539
4272,0,0.00,0.00,13.0452
4273,2,50.69,1.13,13.0183
4274,0,51.98,7.77,13.0033
4275,1,10.37,2.81,12.9820
4276,2,84.73,7.76,12.9787
4277,1,15.43,-7.73,12.9747
4278,-1,-94.01,6.43,12.9529
4279,0,-6.15,2.71,12.9450
4280,-1,-54.59,1.68,12.9285
4281,-1,13.62,-3.11,12.9189
4282,2,3.98,7.66,12.8989
4283,0,36.77,-1.89,12.8948
4284,-1,-11.77,1.82,12.8946
4285,0,9.91,-1.31,12.8943
4286,0,42.17,-2.49,12.8835
4287,0,0.00,0.00,12.8520
4288,-1,18.38,-0.49,12.8388
4289,-2,-65.25,6.50,12.8375
4290,-1,-1.59,4.53,12.8315
4291,2,77.62,-3.51,12.8300
4292,-5,-143.85,23.54,12.8299
4293,-5,-143.85,23.54,12.7927
4294,0,18.86,-3.19,12.7920
4295,0,16.75,-1.44,12.7911
4296,0,31.13,0.37,12.7872
4297,1,12.97,-1.05,12.7520
4298,0,4.64,-0.08,12.6606
4299,0,-22.75,2.48,12.6332
4300,0,18.80,-0.80,12.6247
4301,0,-13.25,0.46,12.6171
4302,2,13.18,7.54,12.6044
4303,-1,4.25,-0.01,12.6017
4304,0,2.38,0.22,12.5705
4305,1,9.29,6.75,12.5697
4306,0,13.66,-0.30,12.5601
4307,0,-93.31,9.13,12.5562
4308,0,22.27,-1.12,12.5513
4309,0,24.41,-2.45,12.5505
4310,0,2.25,-2.07,12.5367
4311,-3,-57.69,8.05,12.5282
4312,0,23.74,-2.19,12.5244
4313,0,105.97,-12.29,12.5233
4314,0,47.75,-9.70,12.5223
4315,0,0.00,0.00,12.5214
4316,0,25.86,-3.31,12.5169
4317,0,18.67,-1.23,12.5152
4318,1,48.23,-1.57,12.4866
4319,-1,7.01,-0.20,12.4850
4320,2,25.85,-11.93,12.4839
4321,0,2.25,-1.82,12.4781
4322,-1,-43.24,3.25,12.4745
4323,-1,-1.36,0.80,12.4268
4324,0,-20.94,0.80,12.4205
4325,0,0.00,0.00,12.4190
4326,1,90.38,-4.19,12.4074
4327,1,116.45,-9.76,12.3932
4328,0,14.93,-5.61,12.3932
4329,0,48.46,-2.18,12.3912
4330,0,33.84,-0.07,12.3786
4331,0,45.38,-6.15,12.3708
4332,0,41.01,-0.17,12.3679
4333,1,54.55,-4.29,12.3473
4334,0,4.36,0.25,12.2898
4335,0,-4.17,1.52,12.2560
4336,0,-25.59,2.16,12.2542
4337,-1,-71.60,0.79,12.2425
4338,2,137.11,-4.97,12.2188
4339,0,7.37,-0.47,12.1793
4340,1,32.47,4.15,12.1791
4341,1,0.46,0.10,12.1735
4342,-1,-160.34,7.50,12.1686
4343,0,64.71,-4.10,12.1648
4344,1,42.79,-2.89,12.1617
4345,0,-20.64,1.93,12.1484
4346,1,10.48,2.77,12.1426
4347,0,0.00,1.71,12.1334
4348,0,6.50,-0.47,12.1286
4349,-1,-74.50,4.93,12.1097
4350,0,-36.39,2.22,12.1073
4351,3,36.79,7.96,12.1056
4352,-1,-35.81,4.14,12.0747
4353,0,-31.22,10.88,12.0724
4354,1,85.85,2.53,12.0669
4355,-3,-71.61,0.98,12.0264
4356,0,29.51,0.24,12.0181
4357,1,38.48,2.16,12.0121
4358,0,0.00,-1.07,12.0096
4359,-1,-99.49,4.39,11.9573
4360,-1,-91.44,6.61,11.9541
4361,1,101.58,-8.08,11.9468
4362,1,95.63,6.17,11.9433
4363,-1,-145.47,7.47,11.9330
4364,0,0.00,0.00,11.9036
4365,0,-9.17,2.87,11.8951
4366,0,-5.04,1.69,11.8819
4367,4,421.90,-20.45,11.8633
4368,2,6.55,12.10,11.8567
4369,2,38.11,10.51,11.8520
4370,-1,-106.75,2.57,11.8414
4371,0,5.98,-0.58,11.8345
4372,1,14.14,4.91,11.8157
4373,1,92.85,-0.25,11.7872
4374,1,44.71,-3.39,11.7850
4375,0,-5.84,2.72,11.7831
4376,-1,-120.22,7.17,11.7699
4377,0,161.40,-16.70,11.7683
4378,1,31.48,1.67,11.7653
4379,1,97.44,0.97,11.7545
4380,0,60.84,-11.99,11.7082
4381,0,-14.45,4.14,11.7014
4382,0,0.00,0.00,11.6809
4383,0,16.99,-4.01,11.6733
4384,0,15.29,-2.42,11.6525
4385,-1,-105.23,9.95,11.6398
4386,0,115.05,-5.61,11.6332
4387,0,-1.71,-0.01,11.6047
4388,0,-16.77,5.58,11.6010
4389,-2,-16.35,2.65,11.5789
4390,0,-28.27,1.61,11.5649
4391,2,59.51,-4.02,11.5536
4392,0,1.18,1.16,11.5506
4393,-3,-7.68,-2.67,11.5432
4394,0,83.96,-8.55,11.5362
4395,0,11.82,2.26,11.5277
4396,0,0.00,0.00,11.5262
4397,-2,-58.04,6.41,11.5222
4398,0,43.21,-1.21,11.5217
4399,6,266.87,-1.96,11.5180
